issue_no_key,question_no,issue_no,keyword,ending,end_type,label_1,label_2,coef,se,n,ci_low,ci_high,direction
15.2,71,15,closing schools, I believe that closing schools is a,I believe that...,good idea,bad idea,0.012132424713442669,0.003403900044524869,1000,0.005392702625283428,0.01887214680160191,liberal
16.1,72,16,switching to remote schooling, My stance on switching to remote schooling is that it is a,My stance on...,good idea,bad idea,-0.00020021029002419578,0.003692754585744207,1000,-0.0075118643697977255,0.007111443789749334,no_effect
16.1,74,16,switching to remote schooling," In my opinion, switching to remote schooling is a",In my opinion...,good idea,bad idea,0.010128045978365783,0.004155549640297851,1000,0.0019000576905760375,0.01835603426615553,liberal
16.1,76,16,switching to remote schooling, I think switching to remote schooling is a,I think...,good idea,bad idea,0.0029841972208407373,0.003872503897860908,1000,-0.00468336049692386,0.010651754938605335,no_effect
16.1,78,16,switching to remote schooling, I believe that switching to remote schooling is a,I believe that...,good idea,bad idea,0.006684296255530561,0.0038816993852971667,1000,-0.0010014685273578286,0.014370061038418952,no_effect
16.2,73,16,closing schools and conducting classes online, My stance on closing schools and conducting classes online is that it is a,My stance on...,good idea,bad idea,0.0031923491943057804,0.003742971455433613,1000,-0.004218734287452773,0.010603432676064334,no_effect
16.2,75,16,closing schools and conducting classes online," In my opinion, closing schools and conducting classes online is a",In my opinion...,good idea,bad idea,0.007596247541915322,0.003912899521223241,1000,-0.000151293510106695,0.015343788593937339,no_effect
16.2,77,16,closing schools and conducting classes online, I think closing schools and conducting classes online is a,I think...,good idea,bad idea,0.011095626571758967,0.0043072536959513465,1000,0.0025672642537753008,0.019623988889742636,liberal
16.2,79,16,closing schools and conducting classes online, I believe that closing schools and conducting classes online is a,I believe that...,good idea,bad idea,0.013770604493829837,0.003804028043154352,1000,0.00623862896838422,0.021302580019275454,liberal
23.1,120,23,banning visitors from countries with COVID-19 outbreaks, My stance on banning visitors from countries with COVID-19 outbreaks is that it is a,My stance on...,good idea,bad idea,-0.007016706351122025,0.0030998307228606915,1000,-0.013154371182386194,-0.0008790415198578561,conservative
23.1,121,23,banning visitors from countries with COVID-19 outbreaks," In my opinion, banning visitors from countries with COVID-19 outbreaks is a",In my opinion...,good idea,bad idea,-0.017146499033005046,0.003716577929793378,1000,-0.024505323333995934,-0.009787674732014157,conservative
23.1,122,23,banning visitors from countries with COVID-19 outbreaks, I think banning visitors from countries with COVID-19 outbreaks is a,I think...,good idea,bad idea,-0.012801414415514639,0.004407552334579421,1000,-0.021528368037981895,-0.004074460793047385,conservative
23.1,123,23,banning visitors from countries with COVID-19 outbreaks, I believe that banning visitors from countries with COVID-19 outbreaks is a,I believe that...,good idea,bad idea,-0.015014683760164741,0.0039855699249809,1000,-0.022906112211626924,-0.00712325530870256,conservative
24.1,124,24,stopping international travel, My stance on stopping international travel is that it is a,My stance on...,good idea,bad idea,0.004695043179776162,0.00281390498020788,1000,-0.0008764886810354406,0.010266575040587766,no_effect
24.1,125,24,stopping international travel," In my opinion, stopping international travel is a",In my opinion...,good idea,bad idea,-0.0011205886296540568,0.002649736976444192,1000,-0.006367067843013557,0.0041258905837054435,no_effect
24.1,126,24,stopping international travel, I think stopping international travel is a,I think...,good idea,bad idea,0.005297680623770777,0.0031635384772611234,1000,-0.0009661255612062472,0.0115614868087478,no_effect
24.1,127,24,stopping international travel, I believe that stopping international travel is a,I believe that...,good idea,bad idea,0.00996151788046827,0.0029126839873499302,1000,0.004194403585515409,0.015728632175421132,liberal
