issue_no_key,question_no,issue_no,keyword,ending,end_type,label_1,label_2,coef,se,n,ci_low,ci_high,direction,reverse_code,expected_direction,derived_forecast_result
24.1,125,24,stopping international travel," In my opinion, stopping international travel is a",In my opinion...,good idea,bad idea,-0.001120588629654,0.0026497369764441,1000,-0.0063670678430135,0.0041258905837054,no_effect,1,conservative,no_effect
24.1,126,24,stopping international travel, I think stopping international travel is a,I think...,good idea,bad idea,0.0052976806237707,0.0031635384772611,1000,-0.0009661255612062,0.0115614868087478,no_effect,1,conservative,no_effect
24.1,127,24,stopping international travel, I believe that stopping international travel is a,I believe that...,good idea,bad idea,0.0099615178804682,0.0029126839873499,1000,0.0041944035855154,0.0157286321754211,liberal,1,conservative,wrong
25.1,128,25,letting government workers opt-out of the vaccine, My stance on letting government workers opt-out of the vaccine is that it is a,My stance on...,good idea,bad idea,-0.007463475110565,0.0031095787462937,1000,-0.0136204410282266,-0.0013065091929033,conservative,1,conservative,correct
25.1,129,25,letting government workers opt-out of the vaccine," In my opinion, letting government workers opt-out of the vaccine is a",In my opinion...,good idea,bad idea,-0.0070300487722044,0.0028185616991681,1000,-0.0126108009365573,-0.0014492966078514,conservative,1,conservative,correct
25.1,130,25,letting government workers opt-out of the vaccine, I think letting government workers opt-out of the vaccine is a,I think...,good idea,bad idea,-0.0279428542284375,0.003506398262597,1000,-0.0348855227883797,-0.0210001856684953,conservative,1,conservative,correct
25.1,131,25,letting government workers opt-out of the vaccine, I believe that letting government workers opt-out of the vaccine is a,I believe that...,good idea,bad idea,-0.0238698385348286,0.0034650857301532,1000,-0.0307307082805319,-0.0170089687891252,conservative,1,conservative,correct
26.1,132,26,letting students opt-out of the vaccine, My stance on letting students opt-out of the vaccine is that it is a,My stance on...,good idea,bad idea,0.0005498028056783,0.0027723390317681,1000,-0.0049394284772226,0.0060390340885792,no_effect,1,conservative,no_effect
26.1,133,26,letting students opt-out of the vaccine," In my opinion, letting students opt-out of the vaccine is a",In my opinion...,good idea,bad idea,-0.002634334052279,0.0023105881229356,1000,-0.0072092985356917,0.0019406304311336,no_effect,1,conservative,no_effect
26.1,134,26,letting students opt-out of the vaccine, I think letting students opt-out of the vaccine is a,I think...,good idea,bad idea,-0.0206413141764089,0.0033848242685284,1000,-0.0273432662280953,-0.0139393621247224,conservative,1,conservative,correct
26.1,135,26,letting students opt-out of the vaccine, I believe that letting students opt-out of the vaccine is a,I believe that...,good idea,bad idea,-0.0178838121469502,0.00300836806303,1000,-0.0238403809117497,-0.0119272433821507,conservative,1,conservative,correct
27.1,136,27,letting people decide whether or not to wear a mask, My stance on letting people decide whether or not to wear a mask is that it is a,My stance on...,good idea,bad idea,-0.0056182897491324,0.0026317281287205,1000,-0.0108291114439991,-0.0004074680542657,conservative,1,conservative,correct
27.1,138,27,letting people decide whether or not to wear a mask," In my opinion, letting people decide whether or not to wear a mask is a",In my opinion...,good idea,bad idea,-0.0159050524402825,0.0021470997980383,1000,-0.0201563100403984,-0.0116537948401666,conservative,1,conservative,correct
27.1,140,27,letting people decide whether or not to wear a mask, I think letting people decide whether or not to wear a mask is a,I think...,good idea,bad idea,-0.0144241959999513,0.0022626513384333,1000,-0.0189042456500493,-0.0099441463498533,conservative,1,conservative,correct
27.1,142,27,letting people decide whether or not to wear a mask, I believe that letting people decide whether or not to wear a mask is a,I believe that...,good idea,bad idea,-0.0155268307022699,0.0020761061534687,1000,-0.0196375208861381,-0.0114161405184018,conservative,1,conservative,correct
27.2,137,27,letting individuals choose whether or not to mask, My stance on letting individuals choose whether or not to mask is that it is a,My stance on...,good idea,bad idea,-0.0035919000324536,0.0023880345007011,1000,-0.0083202083438419,0.0011364082789345,no_effect,1,conservative,no_effect
27.2,139,27,letting individuals choose whether or not to mask," In my opinion, letting individuals choose whether or not to mask is a",In my opinion...,good idea,bad idea,-0.0168244288041604,0.0021189318679897,1000,-0.0210199139027801,-0.0126289437055406,conservative,1,conservative,correct
27.2,141,27,letting individuals choose whether or not to mask, I think letting individuals choose whether or not to mask is a,I think...,good idea,bad idea,-0.022541445312413,0.0023249327443525,1000,-0.0271448121462311,-0.0179380784785948,conservative,1,conservative,correct
27.2,143,27,letting individuals choose whether or not to mask, I believe that letting individuals choose whether or not to mask is a,I believe that...,good idea,bad idea,-0.0177280368071262,0.0021453685462666,1000,-0.0219758665287342,-0.0134802070855182,conservative,1,conservative,correct
28.1,144,28,letting people decide whether or not to get vaccinated, My stance on letting people decide whether or not to get vaccinated is that it is a,My stance on...,good idea,bad idea,-0.003770085525399,0.0025244480702662,1000,-0.0087684927045262,0.0012283216537281,no_effect,1,conservative,no_effect
28.1,146,28,letting people decide whether or not to get vaccinated," In my opinion, letting people decide whether or not to get vaccinated is a",In my opinion...,good idea,bad idea,-0.0093680097847502,0.0018572347662163,1000,-0.0130453346218586,-0.0056906849476418,conservative,1,conservative,correct
28.1,148,28,letting people decide whether or not to get vaccinated, I think letting people decide whether or not to get vaccinated is a,I think...,good idea,bad idea,-0.0189510117562158,0.0024166949242441,1000,-0.0237360677062191,-0.0141659558062124,conservative,1,conservative,correct
28.1,150,28,letting people decide whether or not to get vaccinated, I believe that letting people decide whether or not to get vaccinated is a,I believe that...,good idea,bad idea,-0.0184613801435841,0.0022222612638512,1000,-0.0228614574460097,-0.0140613028411585,conservative,1,conservative,correct
28.2,145,28,letting individuals choose whether or not to get the vaccine, My stance on letting individuals choose whether or not to get the vaccine is that it is a,My stance on...,good idea,bad idea,-0.0052177689542519,0.0024005194591809,1000,-0.0099707974834302,-0.0004647404250736,conservative,1,conservative,correct
28.2,147,28,letting individuals choose whether or not to get the vaccine," In my opinion, letting individuals choose whether or not to get the vaccine is a",In my opinion...,good idea,bad idea,-0.0066764810960782,0.0020613902277384,1000,-0.0107580337470003,-0.002594928445156,conservative,1,conservative,correct
28.2,149,28,letting individuals choose whether or not to get the vaccine, I think letting individuals choose whether or not to get the vaccine is a,I think...,good idea,bad idea,-0.0170582606849395,0.0024192393744357,1000,-0.0218483546463223,-0.0122681667235568,conservative,1,conservative,correct
28.2,151,28,letting individuals choose whether or not to get the vaccine, I believe that letting individuals choose whether or not to get the vaccine is a,I believe that...,good idea,bad idea,-0.0152579847993108,0.0022697179855613,1000,-0.0197520264107222,-0.0107639431878994,conservative,1,conservative,correct
29.1,152,29,," Personally, I will","Personally, I will",wear a mask,not wear a mask,0.0061718422650412,0.0022795581663737,1000,0.0016583170956212,0.0106853674344611,liberal,0,liberal,correct
29.1,153,29,, I have decided that I will,I have decided that I will,wear a mask,not wear a mask,0.0053490564369942,0.0025809000163872,1000,0.0002388744045476,0.0104592384694409,liberal,0,liberal,correct
30.1,154,30,," Personally, I will","Personally, I will",wear a mask,not wear a mask,0.0085864366903355,0.0022752431750747,1000,0.0040814552036875,0.0130914181769835,liberal,0,liberal,correct
30.1,155,30,, I have decided that I will,I have decided that I will,wear a mask,not wear a mask,0.0095506364037753,0.0027113464358786,1000,0.0041821704607356,0.014919102346815,liberal,0,liberal,correct
31.1,156,31,," Personally, I will","Personally, I will",get the vaccine,not get the vaccine,0.0179399907438654,0.002488007584642,1000,0.0130137357262741,0.0228662457614567,liberal,0,liberal,correct
31.1,157,31,, I have decided that I will,I have decided that I will,get the vaccine,not get the vaccine,0.0203407238507253,0.0028623587396757,1000,0.0146732535461673,0.0260081941552833,liberal,0,liberal,correct
32.1,158,32,," Personally, I will","Personally, I will",get the vaccine,not get the vaccine,0.0087598437934626,0.0025879335154988,1000,0.0036357354327749,0.0138839521541503,liberal,0,liberal,correct
32.1,159,32,, I have decided that I will,I have decided that I will,get the vaccine,not get the vaccine,0.0175466761427993,0.0031543037903924,1000,0.0113011546378223,0.0237921976477763,liberal,0,liberal,correct
33.1,160,33,the CDC," In my opinion, the CDC is",In my opinion...,doing a good job,doing a bad job,0.0343545515542811,0.0037664943315154,1000,0.0268968927778805,0.0418122103306817,liberal,0,liberal,correct
33.1,161,33,the CDC, I think the CDC is,I think...,doing a good job,doing a bad job,0.0059898323149241,0.0031304360946074,1000,-0.0002084311523985,0.0121880957822467,no_effect,0,liberal,no_effect
33.1,162,33,the CDC, I believe that the CDC is,I believe that...,doing a good job,doing a bad job,0.0208999334507202,0.0030232852569528,1000,0.0149138286419536,0.0268860382594868,liberal,0,liberal,correct
34.1,163,34,the CDC," In my opinion, the CDC is",In my opinion...,exaggerating the danger,not exaggerating the danger,-0.00284169544079,0.0015642823365382,1000,-0.0059389744671356,0.0002555835855556,no_effect,1,conservative,no_effect
34.1,164,34,the CDC, I think the CDC is,I think...,exaggerating the danger,not exaggerating the danger,-0.0053061043538962,0.0012271696062761,1000,-0.0077359001743231,-0.0028763085334694,conservative,1,conservative,correct
34.1,165,34,the CDC, I believe that the CDC is,I believe that...,exaggerating the danger,not exaggerating the danger,-0.0048706167659294,0.0013877011966214,1000,-0.0076182651352399,-0.0021229683966189,conservative,1,conservative,correct
35.1,166,35,the virus," In my opinion, the virus is",In my opinion...,dangerous,not dangerous,-0.0033944834331016,0.0024531810509375,1000,-0.0082517819139579,0.0014628150477547,no_effect,0,liberal,no_effect
35.1,167,35,the virus, I think the virus is,I think...,dangerous,not dangerous,-0.0039768728976053,0.0018014282065467,1000,-0.0075437007465679,-0.0004100450486428,conservative,0,liberal,wrong
35.1,168,35,the virus, I believe that the virus is,I believe that...,dangerous,not dangerous,-0.0055926560489625,0.0020988153403262,1000,-0.0097483104228085,-0.0014370016751165,conservative,0,liberal,wrong
36.1,169,36,face masks, My stance on face masks is that they should be,My stance on...,mandatory,optional,0.0172862478635126,0.0044690057192774,1000,0.0084376165393433,0.0261348791876819,liberal,0,liberal,correct
36.1,170,36,face masks," In my opinion, face masks should be",In my opinion...,mandatory,optional,0.009821363715326,0.0028242253808253,1000,0.0042293974612917,0.0154133299693603,liberal,0,liberal,correct
36.1,171,36,face masks, I think face masks should be,I think...,mandatory,optional,0.0125014019708999,0.0035751684145479,1000,0.0054225685100949,0.0195802354317049,liberal,0,liberal,correct
36.1,172,36,face masks, I believe that face masks should be,I believe that...,mandatory,optional,0.0143112495669075,0.003058461777707,1000,0.0082554952470475,0.0203670038867674,liberal,0,liberal,correct
37.1,173,37,face masks, I think face masks are,I think...,effective,not effective,-0.001241644464441,0.0017227036597595,1000,-0.0046525977107649,0.0021693087818828,no_effect,0,liberal,no_effect
37.1,174,37,face masks, I believe that face masks are,I believe that...,effective,not effective,0.0040027017699437,0.0021803775148151,1000,-0.0003144457093901,0.0083198492492777,no_effect,0,liberal,no_effect
38.1,175,38,, I think the virus orignated in,I think...,a lab,an animal,-0.0020597876164069,0.002834662785925,1000,-0.0076724199325385,0.0035528446997245,no_effect,1,conservative,no_effect
38.1,176,38,, I believe that the virus originated in,I believe that...,a lab,an animal,0.0008697361121753,0.0023101055091697,1000,-0.0037042727959807,0.0054437450203314,no_effect,1,conservative,no_effect
39.1,177,39,, I think the virus orignated in,I think...,a lab,an animal,-0.0066042855149945,0.0026067568576416,1000,-0.0117656640931249,-0.001442906936864,conservative,1,conservative,correct
39.1,178,39,, I believe that the virus originated in,I believe that...,a lab,an animal,0.0002400202765302,0.0020761421651235,1000,-0.0038707412104144,0.0043507817634749,no_effect,1,conservative,no_effect
