issue_no_key,question_no,issue_no,keyword,ending,end_type,label_1,label_2,coef,se,n,ci_low,ci_high,direction
2.1,10,2,requiring students to get the vaccine, I think requiring students to get the vaccine is a,I think...,good idea,bad idea,0.003786360307725223,0.003981364655818958,1000,-0.004096741710796315,0.01166946232624676,no_effect
2.1,11,2,requiring students to get the vaccine, I believe that requiring students to get the vaccine is a,I believe that...,good idea,bad idea,0.010976281814639794,0.0037246126763091506,1000,0.0036015487155476762,0.018351014913731912,liberal
3.1,12,3,allowing students to return to school without getting the vaccine, My stance on allowing students to return to school without getting the vaccine is that it is a,My stance on...,good idea,bad idea,-0.004757369774115266,0.0025835916711006534,1000,-0.009872881282894558,0.0003581417346640277,no_effect
3.1,13,3,allowing students to return to school without getting the vaccine," In my opinion, allowing students to return to school without getting the vaccine is a",In my opinion...,good idea,bad idea,0.001362642611588541,0.0025174804052678964,1000,-0.0036219685908418942,0.006347253814018976,no_effect
3.1,14,3,allowing students to return to school without getting the vaccine, I think allowing students to return to school without getting the vaccine is a,I think...,good idea,bad idea,-0.011927747392210121,0.0036096516808343253,1000,-0.019074857720262087,-0.004780637064158157,conservative
3.1,15,3,allowing students to return to school without getting the vaccine, I believe that allowing students to return to school without getting the vaccine is a,I believe that...,good idea,bad idea,-0.012342676957146928,0.0033098094491568115,1000,-0.018896099666477414,-0.005789254247816442,conservative
4.1,16,4,requiring proof of vaccination to travel by plane, My stance on requiring proof of vaccination to travel by plane is that it is a,My stance on...,good idea,bad idea,-0.002368038954753588,0.003615836377209559,1000,-0.009527394981628516,0.004791317072121339,no_effect
4.1,17,4,requiring proof of vaccination to travel by plane," In my opinion, requiring proof of vaccination to travel by plane is a",In my opinion...,good idea,bad idea,-0.0007722275324792754,0.004164369266091859,1000,-0.009017678679341157,0.007473223614382606,no_effect
4.1,18,4,requiring proof of vaccination to travel by plane, I think requiring proof of vaccination to travel by plane is a,I think...,good idea,bad idea,-0.008121951768515743,0.004264060748457557,1000,-0.016564792050461706,0.0003208885134302203,no_effect
4.1,19,4,requiring proof of vaccination to travel by plane, I believe that requiring proof of vaccination to travel by plane is a,I believe that...,good idea,bad idea,-0.013713857672304404,0.0036922368554489224,1000,-0.02102448664609327,-0.006403228698515538,conservative
5.1,20,5,requiring proof of vaccination to enter bars or restaurants, My stance on requiring proof of vaccination to enter bars or restaurants is that it is a,My stance on...,good idea,bad idea,0.004731964256621951,0.0031638829725511037,1000,-0.0015325240290292343,0.010996452542273136,no_effect
5.1,21,5,requiring proof of vaccination to enter bars or restaurants," In my opinion, requiring proof of vaccination to enter bars or restaurants is a",In my opinion...,good idea,bad idea,-0.00897929667080318,0.003909227776708387,1000,-0.016719567668685785,-0.001239025672920573,conservative
5.1,22,5,requiring proof of vaccination to enter bars or restaurants, I think requiring proof of vaccination to enter bars or restaurants is a,I think...,good idea,bad idea,-0.012788046726131291,0.004310195403764498,1000,-0.021322233625584996,-0.004253859826677586,conservative
5.1,23,5,requiring proof of vaccination to enter bars or restaurants, I believe that requiring proof of vaccination to enter bars or restaurants is a,I believe that...,good idea,bad idea,-0.0003516364002836142,0.003378648666655016,1000,-0.007041360760260546,0.006338087959693318,no_effect
6.1,24,6,requiring proof of vaccination to attend large public gatherings, My stance on requiring proof of vaccination to attend large public gatherings is that it is a,My stance on...,good idea,bad idea,0.004171719894024029,0.0030915438322083348,1000,-0.0019495368937484736,0.010292976681796531,no_effect
6.1,25,6,requiring proof of vaccination to attend large public gatherings," In my opinion, requiring proof of vaccination to attend large public gatherings is a",In my opinion...,good idea,bad idea,-0.00402394639316138,0.003963046151522151,1000,-0.011870777773175238,0.0038228849868524794,no_effect
6.1,26,6,requiring proof of vaccination to attend large public gatherings, I think requiring proof of vaccination to attend large public gatherings is a,I think...,good idea,bad idea,-0.008221798602184992,0.004308550743112894,1000,-0.016752729073548522,0.0003091318691785371,no_effect
6.1,27,6,requiring proof of vaccination to attend large public gatherings, I believe that requiring proof of vaccination to attend large public gatherings is a,I believe that...,good idea,bad idea,-0.004107931118943151,0.003304230329547469,1000,-0.010650307171447139,0.002434444933560838,no_effect
7.1,28,7,allowing unvaccinated people to enter bars and restaurants, My stance on allowing unvaccinated people to enter bars and restaurants is that it is a,My stance on...,good idea,bad idea,0.0020241494770873135,0.0025164744038063363,1000,-0.002958469842449233,0.00700676879662386,no_effect
7.1,29,7,allowing unvaccinated people to enter bars and restaurants," In my opinion, allowing unvaccinated people to enter bars and restaurants is a",In my opinion...,good idea,bad idea,0.00491543094413352,0.0030009369790885117,1000,-0.0010264242744617335,0.010857286162728772,no_effect
7.1,30,7,allowing unvaccinated people to enter bars and restaurants, I think allowing unvaccinated people to enter bars and restaurants is a,I think...,good idea,bad idea,0.003962011172203371,0.003983247098751108,1000,-0.003924818083323822,0.011848840427730564,no_effect
7.1,31,7,allowing unvaccinated people to enter bars and restaurants, I believe that allowing unvaccinated people to enter bars and restaurants is a,I believe that...,good idea,bad idea,0.015651191193552468,0.003447771681554161,1000,0.008824603264075229,0.022477779123029708,liberal
8.1,32,8,allowing unvaccinated people to travel by plane, My stance on allowing unvaccinated people to travel by plane is that it is a,My stance on...,good idea,bad idea,-0.00029210781786313464,0.0024173656263473194,1000,-0.0050784917580308266,0.004494276122304557,no_effect
8.1,33,8,allowing unvaccinated people to travel by plane," In my opinion, allowing unvaccinated people to travel by plane is a",In my opinion...,good idea,bad idea,0.0011101743154779686,0.0024969144654839646,1000,-0.0038337163261802807,0.006054064957136218,no_effect
8.1,34,8,allowing unvaccinated people to travel by plane, I think allowing unvaccinated people to travel by plane is a,I think...,good idea,bad idea,0.0027989715861696865,0.0032256994199802197,1000,-0.003587913265391148,0.009185856437730521,no_effect
8.1,35,8,allowing unvaccinated people to travel by plane, I believe that allowing unvaccinated people to travel by plane is a,I believe that...,good idea,bad idea,0.007235187685584527,0.002867509301082246,1000,0.0015575192694416802,0.012912856101727373,liberal
9.1,36,9,opening schools without a vaccine requirement, My stance on opening schools without a vaccine requirement is that it is a,My stance on...,good idea,bad idea,-1.2395547467687618e-05,0.0024847806662436018,1000,-0.004932261266630019,0.0049074701716946435,no_effect
9.1,37,9,opening schools without a vaccine requirement," In my opinion, opening schools without a vaccine requirement is a",In my opinion...,good idea,bad idea,0.001688738447239893,0.0019012206347673243,1000,-0.002075678409599409,0.005453155304079195,no_effect
9.1,38,9,opening schools without a vaccine requirement, I think opening schools without a vaccine requirement is a,I think...,good idea,bad idea,0.0013542028342302045,0.0022984258178400207,1000,-0.0031966802850930363,0.005905085953553445,no_effect
9.1,39,9,opening schools without a vaccine requirement, I believe that opening schools without a vaccine requirement is a,I believe that...,good idea,bad idea,0.0009691004444838322,0.0019631003526505665,1000,-0.0029178382537642894,0.004856039142731954,no_effect
10.1,40,10,closing businesses until infection rates go down, My stance on closing businesses until infection rates go down is that it is a,My stance on...,good idea,bad idea,0.022061422717350974,0.0036478674401054624,1000,0.014838645185942159,0.02928420024875979,liberal
10.1,41,10,closing businesses until infection rates go down," In my opinion, closing businesses until infection rates go down is a",In my opinion...,good idea,bad idea,0.04032490807099342,0.004402399551219944,1000,0.03160815695957793,0.04904165918240891,liberal
10.1,42,10,closing businesses until infection rates go down, I think closing businesses until infection rates go down is a,I think...,good idea,bad idea,0.04096560353881372,0.0044015588734555786,1000,0.03225051696937167,0.049680690108255765,liberal
10.1,43,10,closing businesses until infection rates go down, I believe that closing businesses until infection rates go down is a,I believe that...,good idea,bad idea,0.03476768341773021,0.004260182064120553,1000,0.02633252293077152,0.043202843904688905,liberal
11.1,44,11,closing bars and restaurants until infection rates go down, My stance on closing bars and restaurants until infection rates go down is that it is a,My stance on...,good idea,bad idea,0.007686593422399905,0.004250680819092966,1000,-0.0007297545994041678,0.016102941444203978,no_effect
11.1,45,11,closing bars and restaurants until infection rates go down," In my opinion, closing bars and restaurants until infection rates go down is a",In my opinion...,good idea,bad idea,0.029448360262707963,0.00472344392268229,1000,0.02009594129579703,0.0388007792296189,liberal
11.1,46,11,closing bars and restaurants until infection rates go down, I think closing bars and restaurants until infection rates go down is a,I think...,good idea,bad idea,0.01731392163906804,0.004524008967050026,1000,0.008356383884308989,0.026271459393827093,liberal
11.1,47,11,closing bars and restaurants until infection rates go down, I believe that closing bars and restaurants until infection rates go down is a,I believe that...,good idea,bad idea,0.015350101675127554,0.004675213052018962,1000,0.00609317983213001,0.024607023518125097,liberal
12.1,48,12,prohibiting large gatherings until infection rates go down, My stance on prohibiting large gatherings until infection rates go down is that it is a,My stance on...,good idea,bad idea,0.006670894941673701,0.0028050940069733895,1000,0.0011168088078663896,0.012224981075481013,liberal
12.1,49,12,prohibiting large gatherings until infection rates go down," In my opinion, prohibiting large gatherings until infection rates go down is a",In my opinion...,good idea,bad idea,0.022334090995332873,0.004310565232665462,1000,0.013799171834655257,0.030869010156010488,liberal
12.1,50,12,prohibiting large gatherings until infection rates go down, I think prohibiting large gatherings until infection rates go down is a,I think...,good idea,bad idea,0.024864308373639128,0.004550795728757064,1000,0.015853732830700143,0.033874883916578113,liberal
12.1,51,12,prohibiting large gatherings until infection rates go down, I believe that prohibiting large gatherings until infection rates go down is a,I believe that...,good idea,bad idea,0.031188410596119764,0.0041820272602585695,1000,0.022907996620807797,0.039468824571431735,liberal
13.1,52,13,avoiding small gatherings until infection rates go down, My stance on avoiding small gatherings until infection rates go down is that it is a,My stance on...,good idea,bad idea,0.011559758965530518,0.002958600957195825,1000,0.005701729070282785,0.01741778886077825,liberal
13.1,53,13,avoiding small gatherings until infection rates go down," In my opinion, avoiding small gatherings until infection rates go down is a",In my opinion...,good idea,bad idea,0.029939152204927245,0.004269105128089812,1000,0.021486324051309416,0.038391980358545075,liberal
13.1,54,13,avoiding small gatherings until infection rates go down, I think avoiding small gatherings until infection rates go down is a,I think...,good idea,bad idea,0.015073736703180136,0.003796332514000083,1000,0.007556998325459972,0.0225904750809003,liberal
13.1,55,13,avoiding small gatherings until infection rates go down, I believe that avoiding small gatherings until infection rates go down is a,I believe that...,good idea,bad idea,0.032019676749140386,0.003953407781307808,1000,0.024191929342150927,0.039847424156129845,liberal
14.1,56,14,keeping businesses open, My stance on keeping businesses open is that it is a,My stance on...,good idea,bad idea,0.0005653723978210289,0.001951739435882295,1000,-0.0032990716852259153,0.0044298164808679735,no_effect
14.1,58,14,keeping businesses open," In my opinion, keeping businesses open is a",In my opinion...,good idea,bad idea,-0.0034541712390055435,0.0028861474536650803,1000,-0.009168743197262403,0.0022604007192513157,no_effect
14.1,60,14,keeping businesses open, I think keeping businesses open is a,I think...,good idea,bad idea,-0.012275817350780496,0.0027392411679806566,1000,-0.017699514863382195,-0.006852119838178797,conservative
14.1,62,14,keeping businesses open, I believe that keeping businesses open is a,I believe that...,good idea,bad idea,0.004632029877213506,0.002285062257584602,1000,0.00010760660719599368,0.009156453147231017,liberal
14.2,57,14,closing businesses, My stance on closing businesses is that it is a,My stance on...,good idea,bad idea,0.006196278863757657,0.0025849306813589025,1000,0.0010781161146670298,0.011314441612848284,liberal
14.2,59,14,closing businesses," In my opinion, closing businesses is a",In my opinion...,good idea,bad idea,0.014621401918655269,0.002940994831333324,1000,0.008798232152615288,0.02044457168469525,liberal
14.2,61,14,closing businesses, I think closing businesses is a,I think...,good idea,bad idea,0.02866224470866789,0.003504665414807697,1000,0.021723007187348653,0.03560148222998713,liberal
14.2,63,14,closing businesses, I believe that closing businesses is a,I believe that...,good idea,bad idea,0.022291460578775964,0.0029795253050526474,1000,0.016392000474771722,0.028190920682780205,liberal
15.1,64,15,keeping schools open, My stance on keeping schools open is that it is a,My stance on...,good idea,bad idea,0.0002669619423522982,0.002756306347691395,1000,-0.005190524626076664,0.00572444851078126,no_effect
15.1,66,15,keeping schools open," In my opinion, keeping schools open is a",In my opinion...,good idea,bad idea,0.02297333322386135,0.0042297713295014906,1000,0.014598385991448401,0.0313482804562743,liberal
15.1,68,15,keeping schools open, I think keeping schools open is a,I think...,good idea,bad idea,0.014558839892728992,0.00397445333030834,1000,0.006689422298718479,0.022428257486739503,liberal
15.1,70,15,keeping schools open, I believe that keeping schools open is a,I believe that...,good idea,bad idea,0.012708003147821403,0.0033989322355677575,1000,0.005978117321397244,0.019437888974245563,liberal
15.2,65,15,closing schools, My stance on closing schools is that it is a,My stance on...,good idea,bad idea,0.0024777248092371813,0.003100305389030291,1000,-0.003660879861042795,0.008616329479517158,no_effect
15.2,67,15,closing schools," In my opinion, closing schools is a",In my opinion...,good idea,bad idea,0.00653523322036615,0.0030403303769831274,1000,0.0005153790739395583,0.012555087366792742,liberal
15.2,69,15,closing schools, I think closing schools is a,I think...,good idea,bad idea,0.01733589676200956,0.003643369279307492,1000,0.010122025588980725,0.024549767935038394,liberal
15.2,71,15,closing schools, I believe that closing schools is a,I believe that...,good idea,bad idea,0.012132424713442669,0.003403900044524869,1000,0.005392702625283428,0.01887214680160191,liberal
16.1,72,16,switching to remote schooling, My stance on switching to remote schooling is that it is a,My stance on...,good idea,bad idea,-0.00020021029002419578,0.003692754585744207,1000,-0.0075118643697977255,0.007111443789749334,no_effect
16.1,74,16,switching to remote schooling," In my opinion, switching to remote schooling is a",In my opinion...,good idea,bad idea,0.010128045978365783,0.004155549640297851,1000,0.0019000576905760375,0.01835603426615553,liberal
16.1,76,16,switching to remote schooling, I think switching to remote schooling is a,I think...,good idea,bad idea,0.0029841972208407373,0.003872503897860908,1000,-0.00468336049692386,0.010651754938605335,no_effect
16.1,78,16,switching to remote schooling, I believe that switching to remote schooling is a,I believe that...,good idea,bad idea,0.006684296255530561,0.0038816993852971667,1000,-0.0010014685273578286,0.014370061038418952,no_effect
16.2,73,16,closing schools and conducting classes online, My stance on closing schools and conducting classes online is that it is a,My stance on...,good idea,bad idea,0.0031923491943057804,0.003742971455433613,1000,-0.004218734287452773,0.010603432676064334,no_effect
16.2,75,16,closing schools and conducting classes online," In my opinion, closing schools and conducting classes online is a",In my opinion...,good idea,bad idea,0.007596247541915322,0.003912899521223241,1000,-0.000151293510106695,0.015343788593937339,no_effect
16.2,77,16,closing schools and conducting classes online, I think closing schools and conducting classes online is a,I think...,good idea,bad idea,0.011095626571758967,0.0043072536959513465,1000,0.0025672642537753008,0.019623988889742636,liberal
16.2,79,16,closing schools and conducting classes online, I believe that closing schools and conducting classes online is a,I believe that...,good idea,bad idea,0.013770604493829837,0.003804028043154352,1000,0.00623862896838422,0.021302580019275454,liberal
17.1,80,17,a mask mandate, My stance on a mask mandate is that it is a,My stance on...,good idea,bad idea,0.01538607738903623,0.0027444370665951276,1000,0.009952091997177878,0.020820062780894582,liberal
17.1,82,17,a mask mandate," In my opinion, a mask mandate is a",In my opinion...,good idea,bad idea,0.032751181228793405,0.004176014109129759,1000,0.024482673292716483,0.041019689164870324,liberal
17.1,84,17,a mask mandate, I think a mask mandate is a,I think...,good idea,bad idea,0.04046338568614358,0.00405565404714823,1000,0.03243319067279008,0.04849358069949707,liberal
17.1,86,17,a mask mandate, I believe that a mask mandate is a,I believe that...,good idea,bad idea,0.025749427788711133,0.0036665144600596675,1000,0.01848972915779299,0.033009126419629276,liberal
17.2,81,17,a mask requirement, My stance on a mask requirement is that it is a,My stance on...,good idea,bad idea,0.006796948801644996,0.0024195284490480776,1000,0.0020062824725298025,0.01158761513076019,liberal
17.2,83,17,a mask requirement," In my opinion, a mask requirement is a",In my opinion...,good idea,bad idea,0.018630820948265483,0.0040295841906979974,1000,0.010652244250683448,0.026609397645847518,liberal
17.2,85,17,a mask requirement, I think a mask requirement is a,I think...,good idea,bad idea,0.015812792819502024,0.0038813176692097497,1000,0.008127783834466721,0.023497801804537328,liberal
17.2,87,17,a mask requirement, I believe that a mask requirement is a,I believe that...,good idea,bad idea,0.007187809041205567,0.0034663247804192837,1000,0.00032448597597538494,0.014051132106435748,liberal
18.1,88,18,requiring masks in stores and workplaces, My stance on requiring masks in stores and workplaces is that it is a,My stance on...,good idea,bad idea,0.018498677148220285,0.0034361054165212906,1000,0.01169518842350813,0.02530216587293244,liberal
18.1,90,18,requiring masks in stores and workplaces," In my opinion, requiring masks in stores and workplaces is a",In my opinion...,good idea,bad idea,0.026315721292204212,0.0046274123634045435,1000,0.01715344481266322,0.03547799777174521,liberal
18.1,92,18,requiring masks in stores and workplaces, I think requiring masks in stores and workplaces is a,I think...,good idea,bad idea,0.023461831102102388,0.004285325291404393,1000,0.014976887025121689,0.031946775179083085,liberal
18.1,94,18,requiring masks in stores and workplaces, I believe that requiring masks in stores and workplaces is a,I believe that...,good idea,bad idea,0.015611931314628357,0.004081205386292057,1000,0.007531144649770085,0.02369271797948663,liberal
18.2,89,18,mandating masks in stores and workplaces, My stance on mandating masks in stores and workplaces is that it is a,My stance on...,good idea,bad idea,0.014195405127646277,0.003341552406945631,1000,0.007579131361893927,0.020811678893398626,liberal
18.2,91,18,mandating masks in stores and workplaces," In my opinion, mandating masks in stores and workplaces is a",In my opinion...,good idea,bad idea,0.04195058544784935,0.004257819921984633,1000,0.03352010200231978,0.05038106889337893,liberal
18.2,93,18,mandating masks in stores and workplaces, I think mandating masks in stores and workplaces is a,I think...,good idea,bad idea,0.026954485080337653,0.004519570630492606,1000,0.018005735231962295,0.035903234928713015,liberal
18.2,95,18,mandating masks in stores and workplaces, I believe that mandating masks in stores and workplaces is a,I believe that...,good idea,bad idea,0.02212844639945907,0.004197492000969406,1000,0.013817412237539647,0.03043948056137849,liberal
19.1,96,19,requiring masks in schools, My stance on requiring masks in schools is that it is a,My stance on...,good idea,bad idea,0.006421789473795283,0.0032248273068556104,1000,3.6631406221174397e-05,0.012806947541369393,liberal
19.1,98,19,requiring masks in schools," In my opinion, requiring masks in schools is a",In my opinion...,good idea,bad idea,0.013718807555023966,0.004463679705097381,1000,0.004880721738931152,0.022556893371116778,liberal
19.1,100,19,requiring masks in schools, I think requiring masks in schools is a,I think...,good idea,bad idea,0.007873534674618828,0.004144826804881251,1000,-0.000333222399046049,0.016080291748283702,no_effect
19.1,102,19,requiring masks in schools, I believe that requiring masks in schools is a,I believe that...,good idea,bad idea,0.013853083957417817,0.003765189743100586,1000,0.0063980082660786575,0.02130815964875698,liberal
19.2,97,19,mandating masks in schools, My stance on mandating masks in schools is that it is a,My stance on...,good idea,bad idea,0.008397155226689868,0.0029497736098003267,1000,0.002556603479285221,0.014237706974094516,liberal
19.2,99,19,mandating masks in schools," In my opinion, mandating masks in schools is a",In my opinion...,good idea,bad idea,0.015407196898148016,0.00393863249383825,1000,0.007608704560348281,0.02320568923594775,liberal
19.2,101,19,mandating masks in schools, I think mandating masks in schools is a,I think...,good idea,bad idea,0.030807537609448543,0.004058450197633848,1000,0.022771806218133524,0.03884326900076356,liberal
19.2,103,19,mandating masks in schools, I believe that mandating masks in schools is a,I believe that...,good idea,bad idea,0.018708436783869326,0.0035691808151903357,1000,0.011641458769792461,0.02577541479794619,liberal
20.1,104,20,a vaccine mandate, My stance on a vaccine mandate is that it is a,My stance on...,good idea,bad idea,0.0033501399892875844,0.002142717502117395,1000,-0.0008924406649048582,0.007592720643480027,no_effect
20.1,106,20,a vaccine mandate," In my opinion, a vaccine mandate is a",In my opinion...,good idea,bad idea,0.036488336810086175,0.004132112604707574,1000,0.02830675385276518,0.04466991976740717,liberal
20.1,108,20,a vaccine mandate, I think a vaccine mandate is a,I think...,good idea,bad idea,0.045143501524922025,0.00399951440436257,1000,0.037224463004284135,0.053062540045559915,liberal
20.1,110,20,a vaccine mandate, I believe that a vaccine mandate is a,I believe that...,good idea,bad idea,0.0348004943467475,0.0034098221807863215,1000,0.028049046428790584,0.04155194226470442,liberal
20.2,105,20,a vaccine requirement, My stance on a vaccine requirement is that it is a,My stance on...,good idea,bad idea,0.00498690913159971,0.0020605399261366068,1000,0.0009070400778492284,0.009066778185350191,liberal
20.2,107,20,a vaccine requirement," In my opinion, a vaccine requirement is a",In my opinion...,good idea,bad idea,0.00902507681020023,0.003737075055664031,1000,0.0016256681999854486,0.01642448542041501,liberal
20.2,109,20,a vaccine requirement, I think a vaccine requirement is a,I think...,good idea,bad idea,0.006221416496296459,0.003592427889571007,1000,-0.000891590725054135,0.013334423717647054,no_effect
20.2,111,20,a vaccine requirement, I believe that a vaccine requirement is a,I believe that...,good idea,bad idea,0.012071838975944684,0.0030592003834661323,1000,0.006014622216681742,0.018129055735207626,liberal
21.1,112,21,ending mask mandates, My stance on ending mask mandates is that it is a,My stance on...,good idea,bad idea,-0.006876502128595428,0.0025663069149341384,1000,-0.011957789820165023,-0.0017952144370258346,conservative
21.1,113,21,ending mask mandates," In my opinion, ending mask mandates is a",In my opinion...,good idea,bad idea,-0.02136478231876207,0.0037514102438854836,1000,-0.028792574601655328,-0.013936990035868815,conservative
21.1,114,21,ending mask mandates, I think ending mask mandates is a,I think...,good idea,bad idea,-0.014872065249874408,0.0037795743348844417,1000,-0.0223556224329456,-0.007388508066803213,conservative
21.1,115,21,ending mask mandates, I believe that ending mask mandates is a,I believe that...,good idea,bad idea,-0.005686594820999759,0.003349125469072974,1000,-0.012317863249764248,0.0009446736077647292,no_effect
22.1,116,22,ending vaccine mandates, My stance on ending vaccine mandates is that it is a,My stance on...,good idea,bad idea,-0.004050053046558571,0.0019070558693920832,1000,-0.007826023667954896,-0.00027408242516224627,conservative
22.1,117,22,ending vaccine mandates," In my opinion, ending vaccine mandates is a",In my opinion...,good idea,bad idea,-0.019240808203527394,0.003370555935749499,1000,-0.0259145089563114,-0.012567107450743386,conservative
22.1,118,22,ending vaccine mandates, I think ending vaccine mandates is a,I think...,good idea,bad idea,-0.018113857214731292,0.0036669210900645093,1000,-0.02537436097305902,-0.010853353456403564,conservative
22.1,119,22,ending vaccine mandates, I believe that ending vaccine mandates is a,I believe that...,good idea,bad idea,-0.021692364403677604,0.0033874397004103047,1000,-0.02839949501049001,-0.0149852337968652,conservative
23.1,120,23,banning visitors from countries with COVID-19 outbreaks, My stance on banning visitors from countries with COVID-19 outbreaks is that it is a,My stance on...,good idea,bad idea,-0.007016706351122025,0.0030998307228606915,1000,-0.013154371182386194,-0.0008790415198578561,conservative
23.1,121,23,banning visitors from countries with COVID-19 outbreaks," In my opinion, banning visitors from countries with COVID-19 outbreaks is a",In my opinion...,good idea,bad idea,-0.017146499033005046,0.003716577929793378,1000,-0.024505323333995934,-0.009787674732014157,conservative
23.1,122,23,banning visitors from countries with COVID-19 outbreaks, I think banning visitors from countries with COVID-19 outbreaks is a,I think...,good idea,bad idea,-0.012801414415514639,0.004407552334579421,1000,-0.021528368037981895,-0.004074460793047385,conservative
23.1,123,23,banning visitors from countries with COVID-19 outbreaks, I believe that banning visitors from countries with COVID-19 outbreaks is a,I believe that...,good idea,bad idea,-0.015014683760164741,0.0039855699249809,1000,-0.022906112211626924,-0.00712325530870256,conservative
24.1,124,24,stopping international travel, My stance on stopping international travel is that it is a,My stance on...,good idea,bad idea,0.004695043179776162,0.00281390498020788,1000,-0.0008764886810354406,0.010266575040587766,no_effect
24.1,125,24,stopping international travel," In my opinion, stopping international travel is a",In my opinion...,good idea,bad idea,-0.0011205886296540568,0.002649736976444192,1000,-0.006367067843013557,0.0041258905837054435,no_effect
24.1,126,24,stopping international travel, I think stopping international travel is a,I think...,good idea,bad idea,0.005297680623770777,0.0031635384772611234,1000,-0.0009661255612062472,0.0115614868087478,no_effect
24.1,127,24,stopping international travel, I believe that stopping international travel is a,I believe that...,good idea,bad idea,0.00996151788046827,0.0029126839873499302,1000,0.004194403585515409,0.015728632175421132,liberal
25.1,128,25,letting government workers opt-out of the vaccine, My stance on letting government workers opt-out of the vaccine is that it is a,My stance on...,good idea,bad idea,-0.007463475110565025,0.003109578746293758,1000,-0.013620441028226665,-0.0013065091929033842,conservative
25.1,129,25,letting government workers opt-out of the vaccine," In my opinion, letting government workers opt-out of the vaccine is a",In my opinion...,good idea,bad idea,-0.007030048772204402,0.0028185616991681373,1000,-0.012610800936557313,-0.0014492966078514897,conservative
25.1,130,25,letting government workers opt-out of the vaccine, I think letting government workers opt-out of the vaccine is a,I think...,good idea,bad idea,-0.02794285422843756,0.003506398262597072,1000,-0.034885522788379766,-0.021000185668495357,conservative
25.1,131,25,letting government workers opt-out of the vaccine, I believe that letting government workers opt-out of the vaccine is a,I believe that...,good idea,bad idea,-0.023869838534828634,0.0034650857301532115,1000,-0.030730708280531992,-0.017008968789125275,conservative
26.1,132,26,letting students opt-out of the vaccine, My stance on letting students opt-out of the vaccine is that it is a,My stance on...,good idea,bad idea,0.0005498028056783004,0.002772339031768174,1000,-0.004939428477222684,0.006039034088579285,no_effect
26.1,133,26,letting students opt-out of the vaccine," In my opinion, letting students opt-out of the vaccine is a",In my opinion...,good idea,bad idea,-0.002634334052279079,0.002310588122935697,1000,-0.007209298535691759,0.0019406304311336007,no_effect
26.1,134,26,letting students opt-out of the vaccine, I think letting students opt-out of the vaccine is a,I think...,good idea,bad idea,-0.02064131417640892,0.0033848242685284966,1000,-0.027343266228095343,-0.013939362124722496,conservative
26.1,135,26,letting students opt-out of the vaccine, I believe that letting students opt-out of the vaccine is a,I believe that...,good idea,bad idea,-0.017883812146950236,0.0030083680630300642,1000,-0.023840380911749764,-0.011927243382150707,conservative
27.1,136,27,letting people decide whether or not to wear a mask, My stance on letting people decide whether or not to wear a mask is that it is a,My stance on...,good idea,bad idea,-0.005618289749132456,0.0026317281287205527,1000,-0.01082911144399915,-0.0004074680542657614,conservative
